Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,VA Virginia,VA Newport News city 51700,9,Housing Choice Vouchers,3,,Newport News city,51700,2566,101,2523,97,5,8,2.3,5807,377,699,14882,6466,13,28,20,13,26,40,2,58,24,93,70,2,49,92,49,25,72,18,3,59,22,17,1,94,92,0,0,6,1,0,0,2,0,14,110,97,176,12,51,37,35,22,65,45,,,,,,VA,,,6.0
2018-12-31,County,VA Virginia,VA Norfolk city 51710,9,Housing Choice Vouchers,3,,Norfolk city,51710,4164,77,3108,97,5,5,2.3,7020,376,731,14898,6596,7,30,22,15,26,38,1,56,24,93,71,2,44,87,44,35,71,24,1,51,25,23,1,94,92,0,0,6,1,0,1,2,0,18,108,85,196,19,44,37,33,24,75,47,,,,,,VA,,,6.0
2018-12-31,County,VA Virginia,VA Norton city 51720,9,Housing Choice Vouchers,3,,Norton city,51720,107,92,99,100,5,21,1.9,192,266,461,10758,5547,12,41,31,9,7,27,2,70,25,98,75,6,36,77,39,53,93,33,8,46,31,14,1,15,14,-1,-1,85,1,-1,-1,1,1,13,63,100,170,10,62,28,43,26,12,53,,,,,,VA,,,85.0
2018-12-31,County,VA Virginia,VA Petersburg city 51730,9,Housing Choice Vouchers,3,,Petersburg city,51730,626,92,595,100,5,13,2.1,1240,373,616,13782,6613,7,33,23,14,23,31,1,64,21,98,78,0,43,87,43,32,63,23,2,53,23,22,1,97,95,0,-1,3,2,0,-1,2,0,29,98,99,160,16,45,39,42,27,83,56,,,,,,VA,,,3.0
2018-12-31,County,VA Virginia,VA Poquoson city 51735,9,Housing Choice Vouchers,3,,Poquoson city,51735,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
2018-12-31,County,VA Virginia,VA Portsmouth city 51740,9,Housing Choice Vouchers,3,,Portsmouth city,51740,2151,83,1842,100,5,13,2.3,4252,370,738,15325,6639,10,27,20,17,27,41,1,55,25,93,70,2,47,89,47,29,69,22,2,53,21,24,2,98,98,0,0,2,0,0,-1,0,0,56,91,83,181,20,45,35,27,28,78,52,,,,,,VA,,,2.0
2018-12-31,County,VA Virginia,VA Radford city 51750,9,Housing Choice Vouchers,3,,Radford city,51750,100,92,93,100,5,5,2.2,206,299,737,12863,5807,4,29,36,18,12,28,1,66,23,97,81,1,39,89,38,43,62,24,2,51,19,28,6,38,33,-1,2,62,1,1,-1,2,0,42,100,100,85,47,25,28,18,36,14,55,,,,,,VA,,,62.0
2018-12-31,County,VA Virginia,VA Richmond city 51760,9,Housing Choice Vouchers,3,,Richmond city,51760,2408,89,2215,100,5,8,2.1,4586,351,714,13145,6349,12,31,22,13,22,31,1,62,20,97,80,2,36,78,36,39,70,28,2,48,29,21,1,93,91,0,0,7,1,1,0,2,0,33,107,91,158,25,40,35,37,29,78,52,,,,,,VA,,,7.0
2018-12-31,County,VA Virginia,VA Roanoke city 51770,9,Housing Choice Vouchers,3,,Roanoke city,51770,1743,83,1449,100,5,4,2.5,3563,348,552,13597,5530,11,33,22,14,20,29,2,69,24,95,72,3,49,83,49,41,82,27,0,59,22,18,1,75,72,0,0,25,1,1,-1,3,0,32,105,97,199,16,36,48,33,30,58,64,,,,,,VA,,,25.0
2018-12-31,County,VA Virginia,VA Salem city 51775,9,Housing Choice Vouchers,3,,Salem city,51775,137,83,114,100,5,7,2.2,246,361,552,13735,6365,10,33,28,9,20,30,2,68,25,94,71,1,48,84,46,40,87,28,-1,60,20,20,3,66,63,-1,-1,34,1,2,-1,3,0,38,90,97,157,15,49,36,34,10,19,69,,,,,,VA,,,34.0
2018-12-31,County,VA Virginia,VA Staunton city 51790,9,Housing Choice Vouchers,3,,Staunton city,51790,152,85,123,95,7,12,2.3,282,337,471,13762,6002,6,32,29,11,22,45,2,54,26,98,67,2,49,80,47,14,58,12,1,55,15,28,2,43,42,-1,-1,57,1,-1,-1,1,2,4,88,85,84,27,32,41,24,13,19,63,,,,,,VA,,,57.0
2018-12-31,County,VA Virginia,VA Suffolk city 51800,9,Housing Choice Vouchers,3,,Suffolk city,51800,848,79,658,98,5,6,2.6,1684,425,769,15799,6173,9,27,20,17,28,42,0,55,25,93,70,2,51,95,52,30,57,16,0,59,22,19,1,96,95,-1,-1,4,0,0,-1,1,1,60,123,100,277,8,39,53,39,21,74,66,,,,,,VA,,,4.0
2018-12-31,County,VA Virginia,VA Virginia Beach city 51810,9,Housing Choice Vouchers,3,,Virginia Beach city,51810,2043,92,2198,100,5,9,2.4,5254,454,888,16217,6784,8,26,21,15,30,34,2,62,26,91,66,3,44,82,44,36,75,24,1,55,23,21,1,84,79,0,1,16,1,4,0,5,1,59,101,96,159,15,50,35,32,14,53,29,,,,,,VA,,,16.0
2018-12-31,County,VA Virginia,VA Waynesboro city 51820,9,Housing Choice Vouchers,3,,Waynesboro city,51820,415,75,309,99,5,12,2.0,611,356,492,14052,7107,5,33,27,16,20,23,2,72,27,94,64,4,31,77,32,52,77,31,1,45,23,31,3,39,37,0,0,61,-1,2,-1,2,0,8,80,81,164,21,49,30,39,22,25,67,,,,,,VA,,,61.0
